FountainTy,the_geom,OBJECTID,Position,Collection,Painted,GISPROPNUM,SIGNNAME,BOROUGH,FountainCo,GISOBJID,SYSTEM,DEPARTMENT,PARENTID,DESCRIPTIO,FEATURESTA
C,POINT (-73.87615093615828 40.87873305300309),739,Out in Open,01/27/2018 12:00:00 AM +0000,no,X104,Williamsbridge Oval,X,1,100038144,X104-DF0121,X-07,X104,"C, Out in Open",Active
F High Low,POINT (-73.89604046551194 40.893752994494875),1280,Out in Open,02/02/2018 12:00:00 AM +0000,yes,X092,Van Cortlandt Park,X,2,100038671,X092-DF0235,X-13,X092,"F High Low, Out in Open",Active
Pedestal,POINT (-74.19592474033489 40.56070304037151),1821,Near Ballfield,02/14/2018 12:00:00 AM +0000,yes,R017,Freshkills Park,R,1,100039284,R017-DF0132,R-02,R017,"Pedestal, Near Ballfield",Active
A,POINT (-73.74213590281438 40.74319004255673),2362,Near Ballfield,03/02/2018 12:00:00 AM +0000,no,Q001,Alley Pond Park,Q,1,100039787,Q001-DF0704,Q-07A,Q001,"A, Near Ballfield",Active
B,POINT (-73.9682384690798 40.78221690858628),2903,"Under Tree, In Shade",05/29/2018 12:00:00 AM +0000,no,M010,Central Park,M,1,100040382,M010-DF0604,M-13,M010,"B, Under Tree, In Shade",Active
A,POINT (-73.92374240277063 40.834136928107625),522,Out in Open,01/24/2018 12:00:00 AM +0000,no,X034,Mullaly Park,X,1,100037986,X034-DF0062,X-04,X034,"A, Out in Open",Active
C,POINT (-74.0083630206253 40.65292702381844),854,In Playground,01/29/2018 12:00:00 AM +0000,no,B210I,Gonzalo Plasencia Playground,B,1,100038248,B210I-DF0528,B-07,B210I,"C, In Playground",Active
C,POINT (-73.86017931630923 40.76319647414588),1186,Under Tree,02/01/2018 12:00:00 AM +0000,yes,Q084A,Grand Central Parkway Extension,Q,1,100038579,Q084A-DF0317,Q-03,Q084A,"C, Under Tree",Active
A,POINT (-74.09750010808482 40.57620045595851),1518,Near Ballfield,02/07/2018 12:00:00 AM +0000,yes,R038A,Midland Field,R,1,100038905,R038A-DF0059,R-02B,R038A,"A, Near Ballfield",Active
Bottle Filler High Low,POINT (-73.9523815919824 40.82984029925356),1850,"In Playground, Under Tree",02/16/2018 12:00:00 AM +0000,yes,M140,Recreational Area,M,2,100039251,M140-DF0039,M-14,M140,"Bottle Filler High Low, In Playground, Under Tree",Active
E Wheelchair,POINT (-73.93341229981776 40.78806517630602),2182,Out in Open,02/26/2018 12:00:00 AM +0000,no,M107,Wards Island Park,M,1,100039524,M107-DF0156,M-11R,M107,"E Wheelchair, Out in Open",Active
F High Low,POINT (-73.97851509690874 40.78194505023264),2514,"Under Tree, Just Outside Playground, Near Ballfield",03/20/2018 12:00:00 AM +0000,no,M219,Tecumseh Playground,M,2,100039978,M219-DF0323,M-07,M219,"F High Low, Under Tree, Just Outside Playground, Near Ballfield",Active
E Wheelchair Dog,POINT (-73.96884051646803 40.7710704911161),2846,"In Shade, Out in Open, Under Tree",05/23/2018 12:00:00 AM +0000,yes,M010,Central Park,M,1,100040253,M010-DF0558,M-13,M010,"E Wheelchair Dog, In Shade, Out in Open, Under Tree",Active
A,POINT (-74.01109175790126 40.60191102485859),1209,Near Ballfield,02/01/2018 12:00:00 AM +0000,yes,B164,Bath Beach Park,B,1,100038626,B164-DF0628,B-11,B164,"A, Near Ballfield",Active
Other,POINT (-74.08507435715224 40.61166492087307),1541,In Shade,02/08/2018 12:00:00 AM +0000,yes,R125,Lopez Playground,R,1,100038923,R125-DF0074,R-01,R125,"Other, In Shade",Active
D,POINT (-73.93791162291717 40.84155780232045),1873,"Under Tree, In Playground",02/15/2018 12:00:00 AM +0000,yes,M240,Audubon Playground,M,1,100039275,M240-DF0047,M-12A,M240,"D, Under Tree, In Playground",Active
A,POINT (-73.82354822585661 40.782924613056984),2205,Just Outside Playground,02/27/2018 12:00:00 AM +0000,no,Q089B,Harvey Park,Q,1,100039618,Q089B-DF0655,Q-07,Q089B,"A, Just Outside Playground",Active
E Wheelchair,POINT (-74.00515385145142 40.71283130360792),2537,Under Tree,03/27/2018 12:00:00 AM +0000,yes,M013,City Hall Park,M,1,100039891,M013-DF0344,M-01,M013,"E Wheelchair, Under Tree",Active
E Wheelchair,POINT (-73.97589661063124 40.76992140847813),2869,"Near Ballfield, Out in Open",05/17/2018 12:00:00 AM +0000,yes,M010,Central Park,M,1,100040262,M010-DF0581,M-13,M010,"E Wheelchair, Near Ballfield, Out in Open",Active
A,POINT (-73.9276852236828 40.68014216340407),144,"Under Tree, In Playground",01/15/2018 12:00:00 AM +0000,yes,B294,Jackie Robinson Park,B,1,100037497,B294-DF0134,B-03,B294,"A, Under Tree, In Playground",Active
A,POINT (-73.8867225910332 40.68435783603313),476,Out in Open,01/23/2018 12:00:00 AM +0000,yes,B047,Highland Park,B,1,100037833,B047-DF0372,Q-05A,B047,"A, Out in Open",Active
A,POINT (-73.88260665960495 40.87796408570875),808,"Under Tree, In Shade, In Playground",01/28/2018 12:00:00 AM +0000,yes,X033,Mosholu Parkway,X,1,100038239,X033-DF0166,X-07,X033,"A, Under Tree, In Shade, In Playground",Active
C,POINT (-73.84144283671229 40.74805336896555),1140,Under Tree,02/01/2018 12:00:00 AM +0000,no,Q099,Flushing Meadows Corona Park,Q,1,100038578,Q099-DF0282,Q-15,Q099,"C, Under Tree",Active
D,POINT (-73.87950940487836 40.658848632480876),167,"Out in Open, Just Outside Playground",01/15/2018 12:00:00 AM +0000,no,B246,Jerome Playground,B,1,100037534,B246-DF0157,B-05,B246,"D, Out in Open, Just Outside Playground",Active
A,POINT (-73.91164363705983 40.63579522143269),499,"Out in Open, Just Outside Playground",01/23/2018 12:00:00 AM +0000,yes,B335,Bildersee Playground,B,1,100037831,B335-DF0392,B-18,B335,"A, Out in Open, Just Outside Playground",Active
A,POINT (-73.73178169568445 40.731268646116604),831,Under Tree,01/29/2018 12:00:00 AM +0000,no,Q358,Detective William T. Gunn Park,Q,1,100038220,Q358-DF0116,Q-13,Q358,"A, Under Tree",Active
C,POINT (-73.79545986014041 40.694098462996834),1163,Near Ballfield,02/01/2018 12:00:00 AM +0000,no,Q127,Marconi Park,Q,1,100038534,Q127-DF0300,Q-12,Q127,"C, Near Ballfield",Active
D,POINT (-73.90473260344167 40.81747417776118),1495,"Out in Open, In Playground",02/07/2018 12:00:00 AM +0000,yes,X216,Abigail Playground,X,1,100038846,X216-DF0274,X-01,X216,"D, Out in Open, In Playground",Active
CS Concrete,POINT (-73.84569117084109 40.73707269334474),1827,Out in Open,02/14/2018 12:00:00 AM +0000,no,Q084A,Grand Central Parkway Extension,Q,1,100039211,Q084A-DF0564,Q-03,Q084A,"CS Concrete, Out in Open",Active
A,POINT (-74.13614225043787 40.55202806062851),353,Out in Open,01/22/2018 12:00:00 AM +0000,yes,R089,Greencroft Playground,R,1,100037695,R089-DF0002,R-03,R089,"A, Out in Open",Active
D,POINT (-73.89001672544825 40.76224090979403),1017,Near Ballfield,01/31/2018 12:00:00 AM +0000,no,Q393A,LaGuardia Landing Lights,Q,1,100038437,Q393A-DF0172,Q-03,Q393A,"D, Near Ballfield",Active
C,POINT (-73.98398988339791 40.622963039427695),1681,"Near Ballfield, In Shade",02/12/2018 12:00:00 AM +0000,no,B042,Gravesend Park,B,1,100039058,B042-DF0678,B-12,B042,"C, Near Ballfield, In Shade",Active
A,POINT (-73.89813659565466 40.84023897348267),1687,Out in Open,02/12/2018 12:00:00 AM +0000,yes,X010,Crotona Park,X,1,100039015,X010-DF0338,X-03,X010,"A, Out in Open",Active
A,POINT (-73.7149063303084 40.74936938431852),2351,Near Ballfield,03/02/2018 12:00:00 AM +0000,no,Q310,Glen Oaks Oval,Q,1,100039762,Q310-DF0693,Q-13,Q310,"A, Near Ballfield",Active
A,POINT (-73.75082549328336 40.594864340180436),3015,Near Ballfield,06/07/2018 12:00:00 AM +0000,no,Q162J,Beach 17 Playground,Q,1,100040401,Q162J-DF0825,Q-14,Q162J,"A, Near Ballfield",Active
A,POINT (-73.83987768013314 40.872850528481585),330,"Near Ballfield, In Shade",01/21/2018 12:00:00 AM +0000,no,X196,Haffen Park,X,1,100037760,X196-DF0041,X-12,X196,"A, Near Ballfield, In Shade",Active
C,POINT (-73.97010984113066 40.58700336695943),453,"Under Tree, In Shade, In Playground",01/22/2018 12:00:00 AM +0000,no,B252,West Playground,B,1,100037795,B252-DF0368,B-13,B252,"C, Under Tree, In Shade, In Playground",Active
E Wheelchair,POINT (-73.9812003684503 40.572908720426696),994,Out in Open,01/31/2018 12:00:00 AM +0000,no,B169,Coney Island Beach & Boardwalk,B,1,100038391,B169-DF0595,B-13,B169,"E Wheelchair, Out in Open",Active
E Wheelchair,POINT (-73.9829054360471 40.57270486219845),1000,Out in Open,01/31/2018 12:00:00 AM +0000,no,B169,Coney Island Beach & Boardwalk,B,1,100038358,B169-DF0597,B-13,B169,"E Wheelchair, Out in Open",Active
A,POINT (-74.01366358212682 40.6136400820685),1664,Near Ballfield,02/12/2018 12:00:00 AM +0000,no,B028,Dyker Beach Park,B,1,100039063,B028-DF0667,B-10,B028,"A, Near Ballfield",Active
E Wheelchair,POINT (-73.94090718618112 40.84592958929141),2328,In Playground,03/01/2018 12:00:00 AM +0000,yes,M099,J. Hood Wright Park,M,1,100039706,M099-DF0228,M-12,M099,"E Wheelchair, In Playground",Active
A,POINT (-73.92669308797224 40.84065997897491),2992,In Shade,06/06/2018 12:00:00 AM +0000,,X153,Merriam Playground,X,1,100040338,X153-DF0439,X-04,X153,"A, In Shade",Active
C,POINT (-73.99959213114394 40.69050211658239),307,Near Ballfield,01/20/2018 12:00:00 AM +0000,no,B050,Van Voorhees Park,B,1,100037709,B050-DF0267,B-06,B050,"C, Near Ballfield",Active
A,POINT (-73.92018417032382 40.8721138797147),2228,Near Ballfield,02/27/2018 12:00:00 AM +0000,yes,M043,Isham Park,M,1,100039679,M043-DF0187,M-12,M043,"A, Near Ballfield",Active
A,POINT (-73.95504521490541 40.71100767631763),2892,"In Shade, In Playground",05/29/2018 12:00:00 AM +0000,,B223PE,Rodney Playground North,B,1,100040215,B223PE-DF0893,B-01,B223PE,"A, In Shade, In Playground",Active
E Wheelchair,POINT (-73.95554318236628 40.79164379641056),3061,"Near Ballfield, Under Tree, In Shade",06/12/2018 12:00:00 AM +0000,yes,M010,Central Park,M,1,100040470,M010-DF0644,M-13,M010,"E Wheelchair, Near Ballfield, Under Tree, In Shade",Active
CS Concrete,POINT (-73.8248042753129 40.763459366703806),2374,Just Outside Playground,03/02/2018 12:00:00 AM +0000,no,Q022,Margaret I. Carman Green - Weeping Beech,Q,1,100039742,Q022-DF0716,Q-07,Q022,"CS Concrete, Just Outside Playground",Active
D,POINT (-74.00610632013635 40.7299278478087),2915,"Under Tree, Just Outside Playground, Near Ballfield, In Shade",05/29/2018 12:00:00 AM +0000,no,M038,James J Walker Park,M,1,100040359,M038-DF0616,M-02,M038,"D, Under Tree, Just Outside Playground, Near Ballfield, In Shade",Active
D,POINT (-73.88241662705477 40.893400089710745),3038,Near Ballfield,06/08/2018 12:00:00 AM +0000,,X092,Van Cortlandt Park,X,1,100040473,X092-DF0451,X-13,X092,"D, Near Ballfield",Active
A,POINT (-73.90824910983324 40.67157325828247),184,"Under Tree, In Shade",01/15/2018 12:00:00 AM +0000,yes,B260,Howard Playground,B,1,100037548,B260-DF0174,B-16,B260,"A, Under Tree, In Shade",Active
C,POINT (-73.82600985761232 40.851236253271786),267,In Playground,01/18/2018 12:00:00 AM +0000,yes,X039,Pelham Bay Park,X,1,100037634,X039-DF0022,X-15,X039,"C, In Playground",Active
A,POINT (-73.96736352975336 40.70660437781899),516,Near Ballfield,01/22/2018 12:00:00 AM +0000,no,B382A,Roberto Clemente Ballfield,B,1,100037907,B382A-DF0409,B-01,B382A,"A, Near Ballfield",Active
F High Low,POINT (-73.93710991149882 40.60824389687381),2437,Just Outside Playground,03/06/2018 12:00:00 AM +0000,yes,B057,Marine Park,B,2,100039813,B057-DF0836,B-18,B057,"F High Low, Just Outside Playground",Active
A,POINT (-73.75790862992028 40.72149173320719),2769,In Playground,05/07/2018 12:00:00 AM +0000,no,Q322,Bellaire Playground,Q,1,100040129,Q322-DF0769,Q-13,Q322,"A, In Playground",Active
D,POINT (-73.73208713460298 40.73142954303237),871,Under Tree,01/29/2018 12:00:00 AM +0000,no,Q358,Detective William T. Gunn Park,Q,1,100038271,Q358-DF0124,Q-13,Q358,"D, Under Tree",Active
D,POINT (-73.87076528204595 40.900671587321234),1203,"Out in Open, Near Ballfield",02/01/2018 12:00:00 AM +0000,yes,X092,Van Cortlandt Park,X,1,100038669,X092-DF0224,X-13,X092,"D, Out in Open, Near Ballfield",Active
D,POINT (-73.85824056931783 40.862593816929376),1750,"Out in Open, Just Outside Playground",02/13/2018 12:00:00 AM +0000,yes,X157,Mazzei Playground,X,1,100039161,X157-DF0349,X-11,X157,"D, Out in Open, Just Outside Playground",Active
CS Concrete,POINT (-74.00203719957888 40.60233082512579),2082,In Shade,02/22/2018 12:00:00 AM +0000,no,B277,Benson Playground,B,1,100039453,B277-DF0787,B-11,B277,"CS Concrete, In Shade",Active
C,POINT (-73.88195753353682 40.84366696373379),3078,,11/30/1899 12:00:00 AM +0000,,X266,Vidalia Park,X,1,100040498,X266-DF0467,X-06,X266,C,Active
E Wheelchair,POINT (-73.95192276319455 40.72038675740687),230,"Out in Open, Near Ballfield, Under Tree",01/18/2018 12:00:00 AM +0000,no,B058,McCarren Park,B,1,100037660,B058-DF0217,B-01,B058,"E Wheelchair, Out in Open, Near Ballfield, Under Tree",Active
Other,POINT (-73.82878620000497 40.82687990430339),313,"Out in Open, In Playground",01/20/2018 12:00:00 AM +0000,yes,X183,Bruckner Playground,X,1,100037710,X183-DF0032,X-10,X183,"Other, Out in Open, In Playground",Active
A,POINT (-73.79121147119533 40.86924666166816),562,Under Tree,01/25/2018 12:00:00 AM +0000,yes,X039,Pelham Bay Park,X,1,100037971,X039-DF0097,X-15,X039,"A, Under Tree",Active
A,POINT (-73.78524773946182 40.59253698167103),1063,Under Tree,02/01/2018 12:00:00 AM +0000,no,Q313,Arverne Playground,Q,1,100038449,Q313-DF0212,Q-14,Q313,"A, Under Tree",Active
Trough,POINT (-73.8015926170955 40.586128592508814),1309,Out in Open,02/02/2018 12:00:00 AM +0000,no,Q163,Rockaway Beach Boardwalk,Q,1,100038765,Q163-DF0418,Q-14,Q163,"Trough, Out in Open",Active
A,POINT (-73.78357852107014 40.70260956887842),1395,Under Tree,02/04/2018 12:00:00 AM +0000,yes,Q121,Detective Keith L Williams Park,Q,1,100038752,Q121-DF0481,Q-12,Q121,"A, Under Tree",Active
C,POINT (-73.89136558905106 40.705925069613066),1558,In Playground,02/09/2018 12:00:00 AM +0000,no,Q305,Mafera Park,Q,1,100038940,Q305-DF0549,Q-05,Q305,"C, In Playground",Active
A,POINT (-74.0169051794584 40.607124408732034),1641,In Playground,02/12/2018 12:00:00 AM +0000,no,B028,Dyker Beach Park,B,1,100039043,B028-DF0657,B-10,B028,"A, In Playground",Active
E Wheelchair Child,POINT (-73.94791314224202 40.83991396630199),1890,"In Playground, In Shade",02/16/2018 12:00:00 AM +0000,yes,M028,Fort Washington Park,M,2,100039272,M028-DF0057,M-12,M028,"E Wheelchair Child, In Playground, In Shade",Active
E Wheelchair Dog,POINT (-73.94362861208575 40.77589414594156),2391,Out in Open,03/03/2018 12:00:00 AM +0000,no,M081,Carl Schurz Park,M,1,100039740,M081-DF0256,M-08,M081,"E Wheelchair Dog, Out in Open",Active
D,POINT (-73.94490717102173 40.80449070415498),2723,Near Ballfield,05/01/2018 12:00:00 AM +0000,yes,M058,Marcus Garvey Park,M,1,100040144,M058-DF0500,M-11,M058,"D, Near Ballfield",Active
C,POINT (-73.97164850850486 40.66879989517073),376,Out in Open,01/22/2018 12:00:00 AM +0000,no,B073,Prospect Park,B,1,100037733,B073-DF0302,B-19,B073,"C, Out in Open",Active
Other,POINT (-73.9728988413099 40.680675950947276),622,Out in Open,01/25/2018 12:00:00 AM +0000,no,B232,Dean Playground,B,1,100038086,B232-DF0448,B-08,B232,"Other, Out in Open",Active
C,POINT (-73.95493282924792 40.700676286985555),708,Just Outside Playground,01/26/2018 12:00:00 AM +0000,no,B022,Middleton Playground,B,1,100038158,B022-DF0481,B-01,B022,"C, Just Outside Playground",Active
D,POINT (-73.75652580172523 40.68568764584852),917,In Playground,01/30/2018 12:00:00 AM +0000,no,Q330,Locust Manor Playground,Q,1,100038307,Q330-DF0136,Q-12,Q330,"D, In Playground",Active
D,POINT (-73.91771284257594 40.70988872280672),954,Under Tree,01/30/2018 12:00:00 AM +0000,no,Q291,Starr Playground,Q,1,100038382,Q291-DF0151,Q-05,Q291,"D, Under Tree",Active
Other,POINT (-73.90618930166747 40.74550537246275),1249,Out in Open,02/02/2018 12:00:00 AM +0000,no,Q057,Sohncke Square,Q,1,100038649,Q057-DF0371,Q-02,Q057,"Other, Out in Open",Active
A,POINT (-74.03643233631564 40.62613306152322),1704,In Playground,02/12/2018 12:00:00 AM +0000,no,B192,Russell Pedersen Playground,B,1,100039097,B192-DF0694,B-10,B192,"A, In Playground",Active
CS Metal,POINT (-73.9896199036449 40.73626704066879),2036,"In Playground, Under Tree",02/20/2018 12:00:00 AM +0000,no,M089,Union Square Park,M,2,100039440,M089-DF0098,M-05,M089,"CS Metal, In Playground, Under Tree",Active
Trough,POINT (-74.01460038143942 40.71571998971231),2245,"In Shade, Near Ballfield",02/27/2018 12:00:00 AM +0000,no,M283,Battery Park City,M,1,100039635,M283-DF0201,M-01,M283,"Trough, In Shade, Near Ballfield",Active
A,POINT (-73.97974857272591 40.71526755994791),2577,"Near Ballfield, In Playground",04/04/2018 12:00:00 AM +0000,yes,M195,Sidney Hillman Playground,M,1,100039912,M195-DF0384,M-03,M195,"A, Near Ballfield, In Playground",Active
E Wheelchair,POINT (-73.99261414286042 40.58705811396034),21,"Under Tree, In Shade, Out in Open",01/22/2018 12:00:00 AM +0000,no,B125,Calvert Vaux Park,B,1,100037414,B125-DF0011,B-13,B125,"E Wheelchair, Under Tree, In Shade, Out in Open",Active
F Dog,POINT (-73.85609768284884 40.81415331830282),768,In Playground,01/27/2018 12:00:00 AM +0000,yes,X088,Pugsley Creek Park,X,1,100038182,X088-DF0142,X-09,X088,"F Dog, In Playground",Active
CS Metal,POINT (-73.85260685168473 40.8698090372523),1349,In Playground,02/03/2018 12:00:00 AM +0000,no,X156,Eastchester Playground,X,1,100038789,X156-DF0253,X-11,X156,"CS Metal, In Playground",Active
A,POINT (-73.88165104052968 40.88370152868674),1355,"Under Tree, In Shade",02/03/2018 12:00:00 AM +0000,yes,X092,Van Cortlandt Park,X,1,100038782,X092-DF0255,X-13,X092,"A, Under Tree, In Shade",Active
C,POINT (-73.9068621116622 40.83099175393319),1604,Out in Open,02/11/2018 12:00:00 AM +0000,no,X286,Rev Lena Irons Unity Park,X,1,100039076,X286-DF0289,X-03,X286,"C, Out in Open",Active
C,POINT (-73.95104518642908 40.81369686800247),2683,"In Playground, Under Tree",04/23/2018 12:00:00 AM +0000,yes,M077,St. Nicholas Park,M,1,100040011,M077-DF0486,M-09,M077,"C, In Playground, Under Tree",Active
E Wheelchair Child,POINT (-73.97273051906492 40.65488278481804),2932,In Playground,05/31/2018 12:00:00 AM +0000,,B073,Prospect Park,B,2,100040355,B073-DF0910,B-19,B073,"E Wheelchair Child, In Playground",Active
E Wheelchair,POINT (-73.87299851982245 40.648982423920486),121,Near Ballfield,01/15/2018 12:00:00 AM +0000,yes,B371,Spring Creek Park,B,1,100037563,B371-DF0111,B-05,B371,"E Wheelchair, Near Ballfield",Active
C,POINT (-73.9391456041752 40.68660180611567),127,In Playground,01/15/2018 12:00:00 AM +0000,yes,B216,Raymond Bush Playground,B,1,100037555,B216-DF0117,B-03,B216,"C, In Playground",Active
A,POINT (-73.71320185189641 40.741303100415465),662,Out in Open,01/30/2018 12:00:00 AM +0000,yes,Q352,Hillside Park,Q,1,100038071,Q352-DF0073,Q-13,Q352,"A, Out in Open",Active
D,POINT (-73.91110837698395 40.7473657850963),668,Out in Open,01/26/2018 12:00:00 AM +0000,no,Q031,Lawrence Virgilio Playground,Q,1,100038082,Q031-DF0079,Q-02,Q031,"D, Out in Open",Active
C,POINT (-73.91085288157068 40.7110694404408),1455,In Playground,02/06/2018 12:00:00 AM +0000,no,Q002,Grover Cleveland Playground,Q,1,100038806,Q002-DF0513,Q-05,Q002,"C, In Playground",Active
E Wheelchair Child,POINT (-73.88929401588946 40.75421699172146),1996,"Out in Open, Just Outside Playground",02/06/2018 12:00:00 AM +0000,no,Q303,Travers Park,Q,2,100039339,Q303-DF0584,Q-03,Q303,"E Wheelchair Child, Out in Open, Just Outside Playground",Active
C,POINT (-73.72879563895773 40.725961964773454),2291,Out in Open,02/28/2018 12:00:00 AM +0000,no,Q134,Breininger Park,Q,1,100039620,Q134-DF0681,Q-13,Q134,"C, Out in Open",Active
CS Metal,POINT (-73.9134809884812 40.81265381093669),814,"Out in Open, In Playground",01/28/2018 12:00:00 AM +0000,no,X045,St. Mary's Park,X,1,100038236,X045-DF0172,X-01,X045,"CS Metal, Out in Open, In Playground",Active
Bottle Filler High Low,POINT (-73.78116617422221 40.596080978484245),1057,Near Ballfield,02/01/2018 12:00:00 AM +0000,no,Q394,Conch Playground,Q,2,100038444,Q394-DF0206,Q-14,Q394,"Bottle Filler High Low, Near Ballfield",Active
E Wheelchair,POINT (-74.01067034405904 40.630036987581946),1896,Under Tree,02/15/2018 12:00:00 AM +0000,no,B052,Leif Ericson Park,B,1,100039219,B052-DF0761,B-10,B052,"E Wheelchair, Under Tree",Active
E Wheelchair,POINT (-73.98952641289044 40.69858729036102),2142,Out in Open,02/25/2018 12:00:00 AM +0000,yes,B113E,Walt Whitman Park,B,1,100039540,B113E-DF0800,B-02,B113E,"E Wheelchair, Out in Open",Active
A,POINT (-73.89741589654075 40.84108925361597),2975,In Playground,06/05/2018 12:00:00 AM +0000,no,X010,Crotona Park,X,1,100040348,X010-DF0434,X-03,X010,"A, In Playground",Active
A,POINT (-73.76781915727652 40.772566214386714),2978,Near Ballfield,06/06/2018 12:00:00 AM +0000,no,Q012,Crocheron Park,Q,1,100040345,Q012-DF0804,Q-11,Q012,"A, Near Ballfield",Active
CS Concrete,POINT (-73.91911361065183 40.6851100757045),370,In Playground,01/22/2018 12:00:00 AM +0000,,B079,Saratoga Park,B,1,100037742,B079-DF0296,B-03,B079,"CS Concrete, In Playground",Active
E Wheelchair,POINT (-73.98849168523519 40.74187520690421),2042,"In Shade, Under Tree",02/20/2018 12:00:00 AM +0000,yes,M052,Madison Square Park,M,1,100039417,M052-DF0104,M-05,M052,"E Wheelchair, In Shade, Under Tree",Active
E High Low,POINT (-73.82477507445515 40.796460500621066),2288,"Under Tree, In Playground",02/28/2018 12:00:00 AM +0000,no,Q126,Francis Lewis Park,Q,2,100039669,Q126-DF0679,Q-07,Q126,"E High Low, Under Tree, In Playground",Active
A,POINT (-73.97347892924304 40.72313887849657),2583,Near Ballfield,04/04/2018 12:00:00 AM +0000,yes,M144,John V. Lindsay East River Park,M,1,100039987,M144-DF0390,M-03,M144,"A, Near Ballfield",Active
C,POINT (-73.8025434023481 40.6801906020713),2829,In Playground,05/11/2018 12:00:00 AM +0000,no,Q220C,Dr. Charles R. Drew Park,Q,1,100040200,Q220C-DF0792,Q-12,Q220C,"C, In Playground",Active
F Dog,POINT (-74.00296654455694 40.67976273462538),273,Out in Open,01/19/2018 12:00:00 AM +0000,yes,B223A,Dimattina Playground,B,1,100037636,B223A-DF0237,B-06,B223A,"F Dog, Out in Open",Active
A,POINT (-73.89361350430616 40.65395567690513),605,"Out in Open, In Playground",01/25/2018 12:00:00 AM +0000,yes,B247,Breukelen Ballfields,B,1,100038039,B247-DF0434,B-18,B247,"A, Out in Open, In Playground",Active
C,POINT (-73.85687402338236 40.810173779128654),771,In Playground,01/27/2018 12:00:00 AM +0000,yes,X262,Harding Park,X,1,100038169,X262-DF0144,X-09,X262,"C, In Playground",Active
A,POINT (-73.83875571562426 40.74480380086003),1103,Out in Open,02/01/2018 12:00:00 AM +0000,yes,Q099,Flushing Meadows Corona Park,Q,1,100038547,Q099-DF0252,Q-15,Q099,"A, Out in Open",Active
A,POINT (-73.85727298306091 40.73541594484174),1269,In Playground,02/02/2018 12:00:00 AM +0000,no,Q357B,Real Good Park,Q,1,100038628,Q357B-DF0390,Q-06,Q357B,"A, In Playground",Active
C,POINT (-74.163452201318 40.61989725472474),1767,Under Tree,02/13/2018 12:00:00 AM +0000,no,R114,Jennifer's Playground,R,1,100039178,R114-DF0113,R-01,R114,"C, Under Tree",Active
A,POINT (-73.90804597946936 40.87772035416094),2265,Out in Open,02/28/2018 12:00:00 AM +0000,yes,X202,Marble Hill Playground,X,1,100039603,X202-DF0406,X-08,X202,"A, Out in Open",Active
C,POINT (-73.74637863758849 40.66105174471963),2763,Near Ballfield,05/07/2018 12:00:00 AM +0000,no,Q008,Brookville Park,Q,1,100040157,Q008-DF0763,Q-13,Q008,"C, Near Ballfield",Active
C,POINT (-73.97613232325764 40.697613765398415),250,"Out in Open, Just Outside Playground",01/18/2018 12:00:00 AM +0000,no,B295,Oxport Playground,B,1,100037598,B295-DF0233,B-02,B295,"C, Out in Open, Just Outside Playground",Active
D,POINT (-73.92453167438173 40.77532812858488),748,In Playground,01/27/2018 12:00:00 AM +0000,no,Q004,Astoria Park,Q,1,100038139,Q004-DF0106,Q-01,Q004,"D, In Playground",Active
A,POINT (-73.89817721146704 40.81943832062075),914,In Playground,01/30/2018 12:00:00 AM +0000,yes,X164,Dawson Playground,X,1,100038336,X164-DF0202,X-02,X164,"A, In Playground",Active
C,POINT (-73.79237257239393 40.73082946270979),1246,"Under Tree, In Playground",02/02/2018 12:00:00 AM +0000,no,Q294,Utopia Playground,Q,1,100038662,Q294-DF0368,Q-08,Q294,"C, Under Tree, In Playground",Active
D,POINT (-73.83928027899518 40.67049371534378),1412,Near Ballfield,02/04/2018 12:00:00 AM +0000,no,Q386,Centreville Playground,Q,1,100038838,Q386-DF0493,Q-10,Q386,"D, Near Ballfield",Active
A,POINT (-74.08383941848027 40.64821127100718),1744,Out in Open,02/13/2018 12:00:00 AM +0000,no,R066,North Shore Esplanade,R,1,100039114,R066-DF0101,R-01,R066,"A, Out in Open",Active
A,POINT (-73.95383535090082 40.82568207926962),1910,In Playground,02/16/2018 12:00:00 AM +0000,no,M072,Riverside Park,M,1,100039362,M072-DF0063,M-14,M072,"A, In Playground",Active
C,POINT (-73.91196305809171 40.69597117831168),58,"Out in Open, Just Outside Playground",01/12/2018 12:00:00 AM +0000,no,B017,Bushwick Playground,B,1,100037488,B017-DF0048,B-04,B017,"C, Out in Open, Just Outside Playground",Active
A,POINT (-73.92707279896702 40.83473484737953),891,Under Tree,01/30/2018 12:00:00 AM +0000,no,X168,Nelson Playground,X,1,100038281,X168-DF0193,X-04,X168,"A, Under Tree",Active
Other,POINT (-73.9899146471847 40.692998192881696),2145,Out in Open,02/25/2018 12:00:00 AM +0000,no,B113C,Korean War Veterans Plaza,B,1,100039518,B113C-DF0803,B-02,B113C,"Other, Out in Open",Active
D,POINT (-73.98402878980643 40.71905778593518),2477,"In Playground, Near Ballfield",03/12/2018 12:00:00 AM +0000,yes,M241,Nathan Straus Playground,M,1,100039838,M241-DF0300,M-03,M241,"D, In Playground, Near Ballfield",Active
E Wheelchair,POINT (-73.78657644121047 40.676988006551156),2812,In Shade,05/11/2018 12:00:00 AM +0000,no,Q005,Baisley Pond Park,Q,1,100040283,Q005-DF0776,Q-12,Q005,"E Wheelchair, In Shade",Active
