FountainTy,the_geom,OBJECTID,Position,Collection,Painted,GISPROPNUM,SIGNNAME,BOROUGH,FountainCo,GISOBJID,SYSTEM,DEPARTMENT,PARENTID,DESCRIPTIO,FEATURESTA
CS Metal,POINT (-73.98396117935147 40.71438002083011),2472,"Under Tree, In Playground, Near Ballfield",03/12/2018 12:00:00 AM +0000,no,M235,Sol Lain Plgd,M,1,100039796,M235-DF0295,M-03,M235,"CS Metal, Under Tree, In Playground, Near Ballfield",Active
A,POINT (-73.88596859185687 40.68391174539306),2890,In Playground,05/25/2018 12:00:00 AM +0000,yes,B047,Highland Park,B,1,100040269,B047-DF0891,Q-05A,B047,"A, In Playground",Active
E Wheelchair Child,POINT (-73.96339296751353 40.655488151764644),3013,,11/30/1899 12:00:00 AM +0000,,B073,Prospect Park,B,2,100040483,B073-DF0937,B-19,B073,E Wheelchair Child,Active
C,POINT (-73.7705381967542 40.73671596998186),1453,"Out in Open, Near Ballfield",02/06/2018 12:00:00 AM +0000,no,Q021,Cunningham Park,Q,1,100038881,Q021-DF0511,Q-08,Q021,"C, Out in Open, Near Ballfield",Active
Other,POINT (-73.90142518719446 40.815396551758234),1702,In Shade,02/12/2018 12:00:00 AM +0000,no,X179,Playground 52 LII,X,1,100039149,X179-DF0344,X-02,X179,"Other, In Shade",Active
D,POINT (-74.1193403873155 40.63769261526999),1785,Near Ballfield,02/13/2018 12:00:00 AM +0000,no,R109,CPL. Thompson Park,R,1,100039181,R109-DF0124,R-01,R109,"D, Near Ballfield",Active
Other,POINT (-73.89361686546435 40.85581549091682),2034,"Under Tree, Out in Open",02/20/2018 12:00:00 AM +0000,no,X280,Washington Park,X,1,100039442,X280-DF0388,X-06,X280,"Other, Under Tree, Out in Open",Active
A,POINT (-73.93744957976966 40.825268729845256),2781,"In Playground, Near Ballfield",05/09/2018 12:00:00 AM +0000,yes,M138,Bill Bojangles Robinson Playground,M,1,100040177,M138-DF0532,M-10,M138,"A, In Playground, Near Ballfield",Active
Bottle Filler Fountain,POINT (-74.00136473977179 40.69270374744473),3030,"In Playground, Out in Open",06/07/2018 12:00:00 AM +0000,,B431,Brooklyn Bridge Park,B,1,100040489,B431-DF0953,B-02,B431,"Bottle Filler Fountain, In Playground, Out in Open",Active
A,POINT (-73.95498148124406 40.79648707500236),3113,Out in Open,07/11/2018 12:00:00 AM +0000,yes,M010,Central Park,M,1,100040392,M010-DF0677,M-13,M010,"A, Out in Open",Active
CS Concrete,POINT (-73.98542574987063 40.70078332022008),219,"In Playground, Out in Open",01/18/2018 12:00:00 AM +0000,yes,B223JB,Bridge Park,B,1,100037599,B223JB-DF0208,B-02,B223JB,"CS Concrete, In Playground, Out in Open",Active
C,POINT (-73.84983070520697 40.81927237757935),766,"In Shade, In Playground",01/27/2018 12:00:00 AM +0000,no,X203,Randall Playground,X,1,100038112,X203-DF0141,X-09,X203,"C, In Shade, In Playground",Active
A,POINT (-73.83982731919154 40.7445297388123),1098,Under Tree,02/01/2018 12:00:00 AM +0000,yes,Q099,Flushing Meadows Corona Park,Q,1,100038448,Q099-DF0247,Q-15,Q099,"A, Under Tree",Active
A,POINT (-73.92254258023917 40.84387537529521),2094,"Under Tree, In Shade, In Playground",02/22/2018 12:00:00 AM +0000,no,X148A2,Plimpton Playground,X,1,100039464,X148A2-DF0394,X-04,X148A2,"A, Under Tree, In Shade, In Playground",Active
C,POINT (-73.94978316508032 40.78084292860075),2389,Out in Open,03/03/2018 12:00:00 AM +0000,no,M294,Ruppert Park,M,1,100039752,M294-DF0254,M-08,M294,"C, Out in Open",Active
D,POINT (-73.89831066612412 40.61911519419054),2426,"Near Ballfield, Out in Open",03/06/2018 12:00:00 AM +0000,no,B166,Belt Parkway/Shore Parkway,B,1,100039858,B166-DF0825,B-15,B166,"D, Near Ballfield, Out in Open",Active
B,POINT (-73.94220192581601 40.805275304174636),2721,"Under Tree, In Playground",05/01/2018 12:00:00 AM +0000,yes,M058,Marcus Garvey Park,M,1,100040090,M058-DF0498,M-11,M058,"B, Under Tree, In Playground",Active
A,POINT (-73.88037723912375 40.66621622169504),79,In Playground,01/12/2018 12:00:00 AM +0000,no,B149B,Linwood Playground,B,1,100037467,B149B-DF0069,B-05,B149B,"A, In Playground",Active
A,POINT (-73.8389212608685 40.87323548493178),328,"Under Tree, In Shade, In Playground",01/21/2018 12:00:00 AM +0000,yes,X196,Haffen Park,X,1,100037696,X196-DF0039,X-12,X196,"A, Under Tree, In Shade, In Playground",Active
A,POINT (-73.97006464737788 40.64920368991551),411,"Under Tree, Near Ballfield, In Shade",01/22/2018 12:00:00 AM +0000,no,B068,Parade Ground,B,1,100037840,B068-DF0331,B-14,B068,"A, Under Tree, Near Ballfield, In Shade",Active
Other,POINT (-73.94711273044904 40.756955545493604),574,In Playground,06/06/2018 12:00:00 AM +0000,no,Q104,Queensbridge Park,Q,1,100037965,Q104-DF0034,Q-01,Q104,"Other, In Playground",Active
A,POINT (-73.71760816260542 40.732614983276356),660,Near Ballfield,01/26/2018 12:00:00 AM +0000,yes,Q328,Bellerose Playground,Q,1,100038019,Q328-DF0071,Q-13,Q328,"A, Near Ballfield",Active
A,POINT (-73.84890890045364 40.74312229279526),906,Under Tree,01/30/2018 12:00:00 AM +0000,yes,Q099,Flushing Meadows Corona Park,Q,1,100038296,Q099-DF0133,Q-15,Q099,"A, Under Tree",Active
A,POINT (-73.80919320221192 40.667369820355006),1407,Near Ballfield,02/04/2018 12:00:00 AM +0000,yes,Q092,Police Officer Edward Byrne Park,Q,1,100038815,Q092-DF0488,Q-10,Q092,"A, Near Ballfield",Active
C,POINT (-73.97172197641271 40.60046504384507),1656,Out in Open,02/12/2018 12:00:00 AM +0000,yes,B244,McDonald Playground,B,1,100039066,B244-DF0660,B-15,B244,"C, Out in Open",Active
A,POINT (-74.040028961116 40.61754542718684),1739,In Playground,02/12/2018 12:00:00 AM +0000,no,B082,Shore Park and Parkway,B,1,100039139,B082-DF0725,B-10,B082,"A, In Playground",Active
A,POINT (-73.88662915991742 40.74438993084635),1988,"In Playground, Just Outside Playground",02/18/2018 12:00:00 AM +0000,,Q098,Frank D. O'Connor Playground,Q,1,100039388,Q098-DF0576,Q-04,Q098,"A, In Playground, Just Outside Playground",Active
CS Metal,POINT (-73.86798824635791 40.87350074722652),265,In Playground,01/21/2018 12:00:00 AM +0000,,X214,Magenta Playground,X,1,100037667,X214-DF0020,X-12,X214,"CS Metal, In Playground",Active
Trough,POINT (-73.98915271503766 40.572370580896894),1015,"In Playground, Out in Open",01/31/2018 12:00:00 AM +0000,no,B169,Coney Island Beach & Boardwalk,B,1,100038426,B169-DF0607,B-13,B169,"Trough, In Playground, Out in Open",Active
Other,POINT (-73.83054381071945 40.58067309059424),1052,In Playground,02/13/2018 12:00:00 AM +0000,no,Q422,Seaside Playground,Q,1,100038472,Q422-DF0201,Q-14,Q422,"Other, In Playground",Active
D,POINT (-73.80836967900298 40.726334859214646),1261,In Playground,02/02/2018 12:00:00 AM +0000,no,Q354,Playground Seventy Five,Q,1,100038602,Q354-DF0383,Q-08,Q354,"D, In Playground",Active
A,POINT (-73.8581515062461 40.86249444456085),1347,Under Tree,02/03/2018 12:00:00 AM +0000,no,X157,Mazzei Playground,X,1,100038706,X157-DF0251,X-11,X157,"A, Under Tree",Active
D,POINT (-73.90108797647314 40.82545794642491),1593,"Under Tree, Just Outside Playground",02/10/2018 12:00:00 AM +0000,yes,X166,Behagen Playground,X,1,100038912,X166-DF0281,X-03,X166,"D, Under Tree, Just Outside Playground",Active
D,POINT (-73.99423318027853 40.76848586593887),2343,"Near Ballfield, Just Outside Playground",03/01/2018 12:00:00 AM +0000,no,M022,De Witt Clinton Park,M,1,100039698,M022-DF0242,M-04,M022,"D, Near Ballfield, Just Outside Playground",Active
A,POINT (-73.94226083090956 40.82467312187073),2675,"In Shade, In Playground",04/23/2018 12:00:00 AM +0000,yes,M014,Jackie Robinson Park,M,1,100040016,M014-DF0478,M-10,M014,"A, In Shade, In Playground",Active
A,POINT (-73.94041484822417 40.6626920691779),365,"Out in Open, Just Outside Playground",01/22/2018 12:00:00 AM +0000,no,B193,Hamilton Metz Field,B,1,100037767,B193-DF0291,B-09,B193,"A, Out in Open, Just Outside Playground",Active
A,POINT (-73.96053471375792 40.69512051652624),614,In Playground,01/25/2018 12:00:00 AM +0000,yes,B105,Taaffe Playground,B,1,100038034,B105-DF0441,B-03,B105,"A, In Playground",Active
C,POINT (-73.89105328147102 40.65180993238099),620,"Out in Open, Near Ballfield",01/25/2018 12:00:00 AM +0000,no,B247,Breukelen Ballfields,B,1,100038036,B247-DF0446,B-18,B247,"C, Out in Open, Near Ballfield",Active
E Wheelchair,POINT (-73.78751668940089 40.67263031879845),1201,In Playground,02/01/2018 12:00:00 AM +0000,no,Q005,Baisley Pond Park,Q,1,100038618,Q005-DF0332,Q-12,Q005,"E Wheelchair, In Playground",Active
C,POINT (-74.14615890942072 40.62324468169039),1948,In Playground,02/17/2018 12:00:00 AM +0000,yes,R076,Markham Playground,R,1,100039307,R076-DF0158,R-01,R076,"C, In Playground",Active
E Wheelchair,POINT (-73.989357936427 40.71518727295625),2286,"Near Ballfield, Just Outside Playground, Under Tree",02/28/2018 12:00:00 AM +0000,yes,M082,Seward Park,M,1,100039598,M082-DF0213,M-03,M082,"E Wheelchair, Near Ballfield, Just Outside Playground, Under Tree",Active
